username,event_date,country,user_day_total_length,user_day_count,treatment,post
ChameleonScales,2023-03-31,france,702,1,0,0
Changaco,2023-04-06,france,270,1,0,1
Chaounne,2023-04-08,france,54,1,0,1
CharlesGaydon,2023-03-27,france,671,2,0,0
CharlesGaydon,2023-04-05,france,225,2,0,1
CharlesGrimont,2023-04-03,france,792,2,0,1
CharlesNepote,2023-03-20,france,353,1,0,0
CharlesNepote,2023-03-23,france,752,1,0,0
CharlesNepote,2023-03-29,france,867,1,0,0
CharlesNepote,2023-04-07,france,779,1,0,1
CharlesRenaud,2023-03-27,france,57,1,0,0
CharlesRenaud,2023-03-28,france,609,2,0,0
CharlieEtienne,2023-03-19,france,1415,1,0,0
CharlieEtienne,2023-03-27,france,249,1,0,0
Chaxwell,2023-04-04,france,113,1,0,1
Chcap,2023-03-30,france,809,1,0,0
CherifMZ,2023-04-04,france,283,1,0,1
Chiarchiaooo,2023-03-23,italy,1275,1,1,0
Chilgl0rd,2023-03-23,france,1061,1,0,0
Chimrod,2023-03-19,france,589,1,0,0
Choucroute-melba,2023-03-22,france,946,1,0,0
ChrilgamerYT,2023-03-24,italy,256,1,1,0
ChristoWolf,2023-03-19,austria,80,2,0,0
ChristoWolf,2023-03-20,austria,0,1,0,0
ChristoWolf,2023-03-24,austria,0,1,0,0
ChristoWolf,2023-04-02,austria,335,3,0,1
ChristoWolf,2023-04-07,austria,42,1,0,1
ChristophSchranz,2023-04-04,austria,310,1,0,1
ChristophWurst,2023-03-21,austria,4210,6,0,0
ChristophWurst,2023-03-22,austria,1676,3,0,0
ChristophWurst,2023-03-23,austria,323,2,0,0
ChristophWurst,2023-03-27,austria,603,1,0,0
ChristophWurst,2023-03-28,austria,778,1,0,0
ChristophWurst,2023-03-29,austria,569,1,0,0
ChristophWurst,2023-03-30,austria,638,1,0,0
ChristophWurst,2023-04-06,austria,1219,8,0,1
ChristopheCVB,2023-03-24,france,820,1,0,0
ChronicStone,2023-03-28,france,993,1,0,0
ChxGuillaume,2023-04-01,france,47,1,0,1
Cihaan,2023-04-03,france,0,15,0,1
Cilooth,2023-03-20,france,1023,1,0,0
CinquinAndy,2023-03-29,france,9099,26,0,0
CinquinAndy,2023-04-03,france,1636,34,0,1
CinquinAndy,2023-04-05,france,1529,1,0,1
Ciock,2023-03-20,italy,690,2,1,0
Ciull0,2023-03-31,italy,174,1,1,0
Ciznia,2023-04-04,france,961,1,0,1
Claquettes,2023-04-06,france,124,1,0,1
Claudiocli,2023-03-23,italy,288,3,1,0
ClemDoum,2023-03-27,france,0,3,0,0
Clement-Muth,2023-04-06,france,0,3,0,1
ClementEraud,2023-03-21,france,0,2,0,0
ClementEraud,2023-03-22,france,75,5,0,0
ClementWalter,2023-03-20,france,818,1,0,0
ClementWalter,2023-03-24,france,273,1,0,0
ClementWalter,2023-03-27,france,461,1,0,0
ClementWalter,2023-04-07,france,88,1,0,1
Clemios,2023-03-29,france,380,1,0,0
Clonkk,2023-03-27,france,497,1,0,0
Clonkk,2023-03-31,france,584,1,0,0
CoBC,2023-04-05,france,184,1,0,1
CodingLady22,2023-04-06,italy,0,1,1,1
CohenArthur,2023-03-18,france,0,1,0,0
CohenArthur,2023-03-25,france,39,1,0,0
CohenArthur,2023-03-30,france,616,2,0,0
CohenArthur,2023-04-04,france,861,1,0,1
ColinFay,2023-03-21,france,937,1,0,0
ColinFay,2023-03-23,france,181,1,0,0
ColinFay,2023-03-26,france,0,2,0,0
ColinFay,2023-03-27,france,1227,1,0,0
ColinFay,2023-03-28,france,133,1,0,0
ColinFay,2023-03-29,france,1659,4,0,0
